order_id,product,category,quantity,price,region
1001,Tablet,Electronics,7,53730,West
1002,Laptop,Accessories,8,79187,North
1003,Tablet,Accessories,8,76288,North
1004,Tablet,Electronics,5,68502,South
1005,Laptop,Accessories,6,78425,West
1006,Laptop,Accessories,4,74007,North
1007,Laptop,Accessories,3,71354,South
1008,Monitor,Electronics,7,35390,North
1009,Tablet,Accessories,5,46422,West
1010,Monitor,Accessories,4,64315,West
1011,Monitor,Accessories,6,36425,East
1012,Tablet,Electronics,1,40164,North
1013,Tablet,Electronics,9,41171,North
1014,Monitor,Electronics,10,35159,East
1015,Tablet,Electronics,5,40306,South
1016,Laptop,Accessories,3,11725,South
1017,Phone,Electronics,7,48078,North
1018,Monitor,Electronics,5,63391,South
1019,Tablet,Electronics,1,53083,South
1020,Phone,Accessories,3,49009,South
1021,Phone,Electronics,4,60552,North
1022,Tablet,Accessories,8,51351,North
1023,Laptop,Electronics,10,29003,North
1024,Laptop,Accessories,8,72496,North
1025,Phone,Electronics,4,51148,South
1026,Phone,Electronics,3,76141,South
1027,Phone,Electronics,8,46880,North
1028,Laptop,Electronics,4,51878,North
1029,Laptop,Accessories,8,75241,North
1030,Monitor,Accessories,4,33870,South
